Country Name,China,India,USA
1960,,,
1961,1.400000005,0.084207443,
1962,4.499999996,-1.989098824,
1963,11.3,2.339252223,
1964,12.90000001,9.224274695,
1965,9.699999996,-11.04219709,
1966,7.200000006,-1.422579222,
1967,1.899999995,14.87087224,
1968,-1.599999991,-0.158278985,
1969,0.799999989,6.427516143,
1970,7.700000007,7.092165395,
1971,1.900000001,-1.877366735,
1972,-0.900000006,-5.018479761,
1973,8.999999999,7.201906548,
1974,4.099999999,-1.523356925,
1975,2.000000009,12.88978365,
1976,-1.800000006,-5.77818282,
1977,-2.200000003,10.03625382,
1978,-1.113120876,2.302506766,
1979,6.13443148,-12.77469046,
1980,-1.482469645,12.88822533,
1981,6.982534407,4.601673301,
1982,11.52882427,-0.280834935,
1983,8.32589347,10.12097408,
1984,12.88061345,1.585092367,
1985,1.843879446,0.314273271,
1986,3.318687285,-0.409484449,
1987,4.704184691,-1.587796598,
1988,2.543933095,15.63964748,
1989,3.074999733,1.189154743,
1990,7.327732141,4.015095805,
1991,2.353530192,-1.952488235,
1992,4.651003019,6.651006784,
1993,4.649179411,3.322706831,
1994,3.945545735,4.715980136,
1995,4.942642538,-0.695377068,
1996,5.0398939,9.92029924,
1997,3.436640445,-2.553727839,
1998,3.432994566,6.320454459,2.657256505
1999,2.731373302,2.669127344,12.33213547
2000,2.328518037,-0.007618146,13.80658464
2001,2.638071238,6.00708957,-3.776841609
2002,2.699946552,-6.604234507,-6.30633842
2003,2.37205637,9.048581158,9.685001826
2004,6.105019968,0.183532765,4.334518021
2005,5.073914398,4.809364049,12.15814168
2006,4.755278298,2.938795485,-5.304684651
2007,3.523649902,5.506476634,-14.41260009
2008,5.156004666,-0.24419426,-0.172313356
2009,4.002425781,-0.880233005,12.02950851
2010,4.251069686,8.791758288,-2.669932793
2011,4.174289253,6.397806254,-6.510451366
2012,4.466541956,1.487460494,-3.786491961
2013,3.807199829,5.570475656,16.17881002
2014,4.050468237,-0.216448191,1.39813772
2015,3.898521466,0.649599312,7.682638257
2016,3.277813557,6.797558631,6.920067091
2017,3.961291,6.605921519,-2.602345108
2018,3.4829175,2.560951552,4.978755744
2019,3.085553092,4.314766319,5.3839676
2020,3,3.033525287,
