Country Name,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,USA,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,158.8290846,,,,,,,,523.9032258,,,,110.0916678,,,,53.39086322,,,289.6498455,100.1686517,,,,,,,,214.8909246,,,,,,73.79789891,,361.0169492,,19.94703563,193.6170213,,,,,1420,,,,20.34211743,1050,,,,,54.15496971,,,476.0716507,,326.6666667,,161.3537383,,,,,183.3710501,68.88587951,,107.8489639,,,74.6716799,,201.1279729,,73.95842872,,,,156.5236819,,,,,,,,314.6164519,,,,,,,,,,,,174.2268959,117.0280194,119.262686,,351.2282915,,,,153.9834046,,315.1100952,,,174.2039557,31.56092631,72.70771578,,,100.1333704,,1850,,,,,868.1350067,,231.8478437,,271.5789474,,,,143.2316934,,,,,167.4471827,120.7125445,,,,,,,,225.9785921,,,,,111.7796664,184.5107567,,120.7125445,,,,,151.5309294,,,,,,,,,90.87131287,,,,,,75.77369439,44.00119083,,,146.9845687,88.35882571,,,274.6872557,,123.6825732,560.6187028,,,172.6385247,1850,,,100.9195553,,,,86.55545568,,,31.41769743,,,165.9530919,,,,,,,,,,,158.8290846,,158.8290846,,,,,,176.1418427,,,,,,,,,,,,,127.4619743,,151.5309294,,165.9530919,158.8290846,20.34211743,23.18181818,239.7108789,,,,,107.9821651,567.5,92.01639943,,,950,,,118.6666667,,90.63196132,,,,137.098441,,376.2727273
1962,,146.9896158,,,,,,,,211.85,,,,98.10556983,,,,59.97685478,,,83.91347588,92.13956188,,,,,,,,204.1795567,,,,,,49.06512446,,280.8225562,,29.1812423,175.1504425,,,,,650,,,,20.96153846,1227.425614,,,,,57.64284601,,,472.3060889,,550,,144.4859759,,,,,169.9104096,73.11418958,,111.3336905,,,81.81317188,,200.3898652,,80.83387116,,,,152.0465317,,,,,,,,366.1156719,,,,,,,,,329.2682927,,,187.7392696,146.7007234,146.5157675,,170.912716,,,,160.0741963,,326.0637326,,,214.3631436,24.98346412,70.07135887,,,101.6651871,,2016.666667,,,,,828.9473684,,222.9966999,,169.1170074,,,,148.3284392,,,,,159.374924,160.5537527,,,,,,,,283.8645546,,,,,107.0543604,154.8288973,,160.4907643,,,,,151.6776055,,,,,,,,,89.37428192,,,,,,84.04635417,44.03753646,,,124.6574271,89.48168932,,,97.18567938,,143.1481458,695.1275189,,,160.3286164,1042.253521,,,94.86642567,,,,87.92102726,,,77.97957824,,,145.72078,,,,,,,,,,,146.9896158,,146.9896158,,,,,,184.8029734,,,,,,,,,,,,,129.5300231,,151.6776055,,145.72078,146.9896158,20.96153846,29.7034822,121.564801,,,329.2682927,,161.0120298,655,93.6281842,,,800,,,118.75,,94.04627336,,,,129.2667044,,355.5454545
1963,,146.7033234,,,,,,,,421.6,,,,97.48512255,,,,60.76104565,,,107.0453304,102.0097016,,,,,,,,249.0086715,,,,,,37.98336711,,285.506396,,34.03987943,160.2827763,,,,,315.5507559,,,191.6666667,19.83333333,1639.309492,,,,,55.88232188,,,495.2302778,,530,,160.4397295,,,,,189.3618626,70.77686914,,109.6496769,,,79.92446393,,172.4737036,,77.5048358,,,,150.938825,,,,,,,,300.4798306,,,,,,,,,232.5581395,,,178.6985954,152.9386885,153.4272387,,213.2487032,866.6666667,,,166.3954086,,325.9391156,270.4777778,,264.8028343,22.18793156,63.8837354,,,97.54482339,,2670.333333,,,,,909.586303,,236.6614707,,278.6718863,,,,162.2601586,,,,,176.2468728,167.8443276,,,,,,,,187.8569737,,,,,107.4284137,163.1578947,,167.8114213,,,,,154.3195258,,,,,,,,,85.98899622,,,,,,83.32336225,41.49982766,,,128.5447036,87.1738305,,,146.8563068,,136.1111111,715.3846154,,,164.7127843,972.7732794,,,95.64855825,,,,85.40950315,,,101.5660125,,,157.7468082,,,,,,,,,,,146.7033234,,146.7033234,,,,,,179.5899826,,,,,,,,,,,,,140.7089151,,154.3195258,,157.7468082,146.7033234,19.83333333,23.22189352,173.9484548,,,232.5581395,,164.0651258,695.5555556,92.34558449,,,152.9411765,,,109.375,,92.74221708,,,,128.2608696,,320.6666667
1964,,170.1542366,,,,1280,,,,590,,,,113.2071799,,,,45.59101977,,,128.4246575,95.99978355,,,,,,,,228.9122437,,,,,,32.05112724,,313.1840796,,33.67465263,141.3996627,,,,,283.4643039,,,110,20,1827.272727,,,,,57.09033425,,,371.4550343,,525,,159.3442013,,,,,174.6360197,68.78919818,,91.93930148,,,78.04672967,,188.2948784,,74.58270276,,,,143.3368512,,,,,,,,220.2577808,,,,,,,,,102.8571429,,,178.3221375,146.6007459,148.1941489,,265.981168,209.2217391,,,206.6109077,,332.8746574,240.1615385,,275.0488208,14.08236857,64.59335402,,,88.57358112,,3210.833333,,,,,555.6288126,,234.0325788,,188.3759398,,,,163.2640178,,102.8571429,,,187.1459531,158.7648389,,,,,,,,134.9766638,,,,,84.90359228,153.3905748,,158.8220487,,,,,140.290324,,,,,,,,,83.62795732,,,,,,74.17351738,41.63691994,,,149.7470369,84.81485429,,,171.6981132,,125.4725378,534.5454545,,,164.2905813,557.6829268,,,97.43120254,,,,83.38578985,,,85.86254697,,,196.8662695,,,,,,,1735.2,,,,170.1542366,,170.1542366,,,,,,193.1793395,,,,,,,,,,,,,139.1938699,,140.290324,,196.8662695,170.1542366,20,20.6853262,163.8727783,,,102.8571429,,148.0161984,815.7,92.10360745,,,173.6842105,,,113.5802469,,90.81470208,,,,145.1054852,,460
1965,,167.4983877,,,,400,,,,810,,,,111.3822147,,,,49.45452922,,,128.8482111,101.8574365,,,,,,,,286.5371377,,,,,,27.24928783,,307.6212471,,35.9343609,136.4064955,,,,,278.1026088,,,245,23.83808492,1533.333333,,,,,57.63464286,,,398.4518025,,255.3717387,,155.5909207,,,,,176.2006158,68.13986597,,77.8214231,,,77.9825435,,159.8358738,,74.48895619,,,,142.310509,,,,,,,,198.0438012,,,,,,,,,87.28,,,134.4261,146.7081933,147.7779657,,245.0643342,205.4304348,,,219.9675347,,196.3641127,234.1772152,,296.2025316,11.41348324,68.03431089,,,84.04448479,,4004,,,,,448.6392789,,262.2197071,,148.6273718,,,,175.597587,,87.28,,,180.0400418,154.5451887,,,,,,,,119.4666795,,,,,70.35578324,167.2073378,,154.6227269,,,,,120.3408847,,,,,,,,,79.41172485,,,,,,73.49009387,39.83090653,,,137.5232284,82.47787914,,,145.1245625,,134.4565771,592.6701571,,,176.2400386,506.9285714,,,85.44183843,,,,80.97686484,,,90.99230801,,,203.272572,,,,,,,867.8,,,,167.4983877,,167.4983877,,,,,,177.9497205,,,,,,,,,,,,,148.091268,,120.3408847,,203.272572,167.4983877,23.83808492,15.48030359,212.5707766,,,87.28,,146.9332912,491.8857143,90.53684095,,,140,,,120,,89.03853438,,,,143.6291913,,375
1966,,157.5221653,,,,316.6666667,,89.41507046,,1413.878429,,,,111.6077221,,,,53.02287668,,,176.0947845,121.0427852,,,,,,,,304.7715254,,,,,,27.42688852,,305.0458716,,53.21443899,142.7091328,,,,,329.6832876,,,248.2758621,17.51004534,1545,,,,,56.71539791,,,377.9276837,,346.6216216,,167.9687601,,,,,137.3214712,67.69563973,,74.07438502,,,78.63053044,208.1967742,127.5614385,,76.89642849,,,,145.166071,,,,,,,,105.5401997,,,,,,,,,114.5588874,,,129.8456111,152.9580908,154.6839321,247.0628122,297.0676127,353.6682927,170.1513212,,242.0497031,,244.3092437,196,,226.3164067,11.84937114,67.70782624,,,81.45951734,,5112,,,,,434.1487681,,284.012508,,105.2631579,,,,195.7679276,170.1513212,114.5588874,,,186.0565895,159.3371954,,,,,,,,55.7966935,,,,,62.09854283,160.0403226,,159.3748504,,,,,94.53547607,,,,,,,,,81.038098,,,,,,64.88410442,39.2041441,,,137.3637425,83.56229359,,,212.2691468,,159.7014925,287.8378378,,,191.3674392,690.9650135,,,74.10849338,,,,81.56578423,,,80.21976974,,,234.0413858,,,,,,,664.4375,,,,157.5221653,,157.5221653,,,,,,161.1603359,,,,,,,,,,7389.624724,,,159.8890579,,94.53547607,,234.0413858,157.5221653,17.51004534,16.72937373,279.0450345,,,114.5588874,,151.9494622,149.2645402,93.20078283,,,147.3130435,,,139.3939394,,91.59980032,,,,134.9842271,,376
1967,,119.5641051,,623.5377358,,155,,85.96456771,,604.1832142,,,,107.4820765,,,,51.31250401,,,192.1921922,136.9998014,,,,,,,,323.434905,,,,,,24.24456481,,304.0909091,,60.23781548,146.4964693,,,,,298.9583333,,,191.25,9.405555556,1712.105263,,,,,56.4313683,,,362.8789185,,339.0131579,,165.4077515,,,,,141.5427275,68.98636927,,72.96937417,,,81.03345804,203.9931973,156.1599608,,87.2145031,,,,145.4861111,,,,,,,,111.9344596,,,,,,,,,318.3772392,,,152.2162422,158.873394,162.0753319,314.0213956,390.7096545,287.9545455,212.3384926,,252.4192226,,226.8275862,278.8888889,,264.696466,12.36099684,61.9931202,,,76.67674597,,5550,,,,,277.202849,,248.6365803,,107.2952381,,,,190.4713661,212.3384926,71.92380952,,,204.4680761,168.0975581,,,,,,,,69.04549509,,,,,61.83088737,118.820913,,168.1902632,,,,,95.32449144,,,,,,,,731.25,80.11294846,,,,,,52.41244953,40.32512983,,,127.5018751,83.66373298,,,361.2581337,,250.1597444,180.8083282,,,187.796992,629.4747275,,,90.90576097,,,,81.65995462,,,82.0771268,,,256.2499737,,,623.5377358,,,,910.42,,,,123.831912,,123.831912,,,,,,158.1712507,,,,,,,,,,1123.829216,,,158.5215424,,95.32449144,,256.2499737,123.831912,9.405555556,12.56924431,414.707588,,,71.92380952,,155.511209,137.2579137,94.64234941,,,160.0111111,,,646.9222222,,91.99088674,,,,101.5480542,,330.1960784
1968,,132.3983068,,111.0116874,,119.3548387,,96.60374926,,265.846855,,,,117.034722,,,,37.31710975,,,271.2000603,131.669397,,,,,,,,338.5961161,,,,,,18.84591338,,326.7942584,,76.9622605,200.5952381,,,,,303.9864588,,,251.5789474,10.72702703,8763.188746,,,,,54.58204475,,,349.8185244,,386.3636364,,182.0467139,,,,1581.8,163.2707857,67.94442267,,76.81513996,,,80.72957777,216.1372383,156.2049038,,90.5742045,,,,139.7120623,,,,,,,,120.7659105,,,,,,,,,140.1605195,,,156.875597,173.5335093,177.1692059,364.6620634,422.4295089,644.6745843,285.4222301,,226.835867,,218.7272727,338.2608696,,292.03974,11.92697505,63.48511326,,,75.01831502,,,,,,,113.0843772,,269.201679,,65.83326524,,,,218.699136,233.1053522,714.627383,,,209.6186587,190.5843967,,,,,,,,62.72004451,,,,,69.5051554,119.5303362,,190.0385705,,,,,105.6781763,,,,4994.166667,,,,676.6666667,80.93263861,,,,,,46.25859478,39.34924078,,,129.0650626,83.37522012,,,461.0538417,,175.4455959,181.8742731,,,173.6121224,140.1605195,,,81.29119388,,,,81.31838961,,,80.42512796,,,243.1691455,,,111.0116874,,,,766.6666667,,,,131.8940761,,131.8940761,,,,,,155.4656133,,,,7628.75,,,,,,1103.333333,,,175.5939802,,105.6781763,,243.1691455,131.8940761,10.72702703,15.676191,469.1094242,,,90.01904762,,181.9588741,155.9645629,97.61474177,,,181.3692214,,,1621.342857,,93.72535364,,,,119.6129337,,338.7755102
1969,,105.9545965,,54.25584868,,100.5586592,,108.0234727,,381.6271707,,,,108.7122654,,,,42.35547221,,,298.6827561,101.7233272,,,,,,,,409.7873004,,,,,,15.53805647,,429.4117647,,69.831914,174.7484909,,,,,237.7269807,,,437.7120698,10.93333333,15291.61206,,,,,57.26101028,,,350.4955225,,225.8064516,,160.4422247,,,,575.7579972,196.3165291,72.01357166,,75.56914713,,,83.76315192,180.4480582,144.1673575,,95.27885646,,,,140.5557479,,,,,,,,120.3505057,,,,,,,,,103.8463587,,,148.6764312,161.4437257,163.531372,234.2657371,217.2809005,452.9440204,284.457225,,207.6915016,,211.869107,333.3333333,,277.2097585,11.04055374,73.85240616,,,73.7728989,,,,,,,104.3100488,,245.2565116,,76.74418605,,,,206.3754027,239.8794115,797.2983555,,,201.4516269,173.2525918,,161.5831517,,,,,,71.60766906,,,,,70.07337448,101.1965707,,172.7901504,,,,,117.9334949,,,,6752.777778,,,,490.7354839,77.79772951,,,,,,52.32451577,41.9258628,,,134.669636,83.40215416,,,230.0247434,,204.5350849,219.7319893,,,164.2205139,103.8463587,,,99.97137103,,,,81.06372499,,,75.25305781,,,213.8238988,,,54.25584868,,,,568.4210526,,,,104.7313883,,104.7313883,,,,,,164.853714,,,,7215.75,,,,,,1313.75,,,165.4948011,,117.9334949,,213.8238988,104.7313883,10.93333333,20.98916653,465.8939429,,,99.34782609,,161.7163447,296.1671784,97.56266306,,,214.9150064,,,835.0242424,,93.65685368,,,,97.02517162,,183.984375
