Country Name,Aruba,China,India,United States
1960,,,,
1961,,7.040823235,2.171289937,41.33427808
1962,,9.598448109,2.885768985,46.72553669
1963,,12.11820841,3.453991236,51.06483422
1964,,16.32831897,4.901985647,55.0294808
1965,,25.41529212,4.959043333,61.03819904
1966,,36.46042686,6.939907939,69.24350582
1967,,26.56776405,9.631993992,76.2348038
1968,,26.68593544,10.99963141,76.85677818
1969,,34.54585231,12.3893584,76.13479994
1970,,44.04049287,14.05455904,80.63532546
1971,,45.83174418,16.6303613,82.87535888
1972,,52.91116265,17.27928783,85.72313082
1973,,65.28871192,17.62561784,91.54384325
1974,,56.17380967,15.93364747,88.70377917
1975,,70.0672898,21.58825492,95.64874292
1976,,65.77711601,21.0839396,105.1948791
1977,,93.75404184,26.50762994,102.81233
1978,,111.7145473,31.43243955,104.8853249
1979,,134.7493112,32.26120261,110.1793192
1980,,158.1728538,33.97276088,112.8309808
1981,,155.332192,37.34899823,106.9980337
1982,,160.034163,35.93043627,93.24290358
1983,,172.4491212,40.7756311,98.80413618
1984,,174.8448721,48.89070885,105.1617853
1985,,142.9966483,52.98642534,98.55976657
1986,,142.907111,58.85599936,93.14965483
1987,,187.637111,51.11791918,94.8042593
1988,,208.2530512,66.09647076,95.62842739
1989,,206.925085,69.210771,98.80015604
1990,,219.0993003,73.52302412,100.4412823
1991,,236.2427815,77.99931978,100.7972785
1992,,236.3347955,74.70166435,102.8030394
1993,,205.6421988,76.17673723,108.8855303
1994,,237.6702677,83.45589294,108.0577016
1995,,295.9246137,85.70285527,108.7728004
1996,,299.8866591,89.04232883,112.8720826
1997,,297.8395236,100.1725608,113.8628603
1998,,299.3979452,104.0679516,112.3411025
1999,,304.4963326,112.1710203,111.8602263
2000,,285.9447796,103.7861182,108.7514593
2001,,293.9154878,108.1821987,110.1302646
2002,,335.8142059,100.3290553,112.5172781
2003,,330.8037479,105.1772039,120.204496
2004,,354.4306033,115.2715101,121.6080303
2005,,376.8997004,127.614592,117.7752144
2006,,376.7396838,136.4039215,123.438462
2007,,387.1512987,142.8352255,123.3453228
2008,,374.2178454,153.3493908,113.3994097
2009,,385.4265002,167.4572959,107.7355458
2010,,424.4187755,179.0358769,115.7948915
2011,,440.8322592,180.7482912,128.3608613
2012,,450.8029431,163.1220216,132.6729487
2013,,449.0524477,156.4956981,134.9636578
2014,,464.8275736,163.4980794,132.3572944
2015,,464.6199489,171.0349325,127.7443986
2016,,463.187015,165.89799,129.3097644
2017,,421.4677499,170.0011508,131.9909973
2018,,393.2154566,175.0153437,128.7651689
2019,,,,
2020,,,,
