Country Name,China,India,USA
1960,59716249311,36878683725,5.464E+11
1961,50056685957,39026635578,5.668E+11
1962,47209186415,41934681631,6.092E+11
1963,50706614526,48186723224,6.431E+11
1964,59708125204,56175789636,6.907E+11
1965,70436008642,59210461464,7.49E+11
1966,76720005492,45536890606,8.201E+11
1967,72881364882,49790942204,8.671E+11
1968,70846276051,52745455871,9.486E+11
1969,79705614855,58086661684,1.026E+12
1970,92602634892,62043816388,1.07436E+12
1971,99800593791,66960356998,1.16293E+12
1972,1.13689E+11,71072538513,1.28051E+12
1973,1.38543E+11,85101941339,1.43185E+12
1974,1.44189E+11,99161036284,1.5533E+12
1975,1.6343E+11,98178114598,1.68455E+12
1976,1.53939E+11,1.02456E+11,1.8696E+12
1977,1.74936E+11,1.21215E+11,2.08267E+12
1978,2.18502E+11,1.3711E+11,2.34986E+12
1979,2.63712E+11,1.53181E+11,2.61426E+12
1980,3.06066E+11,1.86762E+11,2.84722E+12
1981,2.89453E+11,1.93536E+11,3.20227E+12
1982,2.84305E+11,2.00057E+11,3.37165E+12
1983,3.05907E+11,2.17347E+11,3.61427E+12
1984,3.15267E+11,2.1096E+11,4.03248E+12
1985,3.10677E+11,2.31344E+11,4.31027E+12
1986,3.00491E+11,2.47574E+11,4.51674E+12
1987,3.26874E+11,2.77014E+11,4.8291E+12
1988,4.07684E+11,2.93484E+11,5.25627E+12
1989,4.56518E+11,2.92603E+11,5.59854E+12
1990,3.95621E+11,3.16775E+11,5.90248E+12
1991,4.14215E+11,2.65995E+11,6.09701E+12
1992,4.93385E+11,2.83799E+11,6.43589E+12
1993,6.17828E+11,2.75444E+11,6.73429E+12
1994,5.63286E+11,3.23109E+11,7.17096E+12
1995,7.22711E+11,3.56252E+11,7.57554E+12
1996,8.51312E+11,3.89212E+11,8.04696E+12
1997,9.50598E+11,4.12314E+11,8.5906E+12
1998,1.01242E+12,4.17793E+11,9.13663E+12
1999,1.07954E+12,4.55259E+11,9.69139E+12
2000,1.19667E+12,4.63419E+11,1.03852E+13
2001,1.32023E+12,4.81233E+11,1.0749E+13
2002,1.45561E+12,5.1149E+11,1.10566E+13
2003,1.65006E+12,6.03193E+11,1.15391E+13
2004,1.95022E+12,7.04169E+11,1.2322E+13
2005,2.26985E+12,8.14483E+11,1.3171E+13
2006,2.74698E+12,9.32915E+11,1.40718E+13
2007,3.55837E+12,1.21164E+12,1.45576E+13
2008,4.6229E+12,1.19174E+12,1.47239E+13
2009,5.09316E+12,1.33388E+12,1.44366E+13
2010,6.06112E+12,1.65766E+12,1.51852E+13
2011,7.48117E+12,1.80702E+12,1.5862E+13
2012,8.51237E+12,1.80618E+12,1.66403E+13
2013,9.49264E+12,1.8336E+12,1.71407E+13
2014,1.04889E+13,2.01501E+12,1.79842E+13
2015,1.10088E+13,2.07918E+12,1.86081E+13
2016,1.11776E+13,2.2685E+12,1.89834E+13
2017,1.22944E+13,2.6228E+12,1.98372E+13
2018,1.38339E+13,2.67399E+12,2.08834E+13
2019,1.424E+13,2.80837E+12,2.17608E+13
2020,1.45701E+13,2.63567E+12,2.14796E+13
2021,1.76963E+13,3.08726E+12,2.3783E+13
2022,1.77709E+13,3.34832E+12,2.59783E+13
2023,,,
