Year,China,India,USA
1960,,14.75011809,
1961,,15.35383648,
1962,,15.86329813,
1963,,15.75238835,
1964,,14.85073996,
1965,,15.01090777,
1966,,14.50399297,
1967,,13.23186125,
1968,,13.52278801,
1969,,14.14647158,
1970,,14.45654509,
1971,,14.98228674,
1972,,15.10254938,
1973,,15.01528531,
1974,,16.34591338,
1975,,15.83848666,
1976,,16.26588883,
1977,,16.08086893,
1978,,17.09644052,
1979,,17.85203449,
1980,,16.7523758,
1981,,16.77044375,
1982,,16.36999594,
1983,,16.66445469,
1984,,16.7078036,
1985,,16.41801286,
1986,,16.22158381,
1987,,16.20954935,
1988,,16.10153485,
1989,,16.9028459,
1990,,16.59759644,
1991,,15.67626016,
1992,,15.80079982,
1993,,15.91571211,
1994,,16.76413813,
1995,,17.8658506,
1996,,17.5963408,
1997,,16.51857853,16.08717738
1998,,15.71931602,15.77432526
1999,,15.18053671,15.4533061
2000,,15.92702302,15.11687846
2001,,15.30702128,13.92241964
2002,,15.55870173,13.44541911
2003,,15.58738665,13.31608311
2004,31.97506997,15.82724574,13.18019043
2005,32.09392433,15.97301704,12.99307441
2006,32.45232806,17.30365333,12.99411723
2007,32.38335312,16.86456778,12.78247055
2008,32.1194116,17.09867415,12.25570217
2009,31.59623809,17.14357767,11.73147203
2010,31.61282168,17.02993425,11.93268487
2011,32.06479119,16.13933744,11.95221067
2012,31.52857787,15.81692301,11.85220684
2013,30.67100807,15.25302269,11.80679992
2014,30.39644421,15.06557011,11.65242416
2015,28.95167058,15.58385459,11.63367733
2016,28.06944224,15.16223713,11.17131904
2017,28.10893687,15.01823875,11.12900317
2018,27.84101115,14.85326442,11.19770354
2019,26.77472177,13.32744188,10.92624892
2020,26.17590672,12.96168503,
